iter	Passed	Remaining
0	167	167418
1	169	84692
2	170	56819
3	172	42896
4	173	34541
5	175	29006
6	178	25327
7	180	22375
8	181	20027
9	183	18164
10	184	16622
11	186	15343
12	187	14256
13	193	13661
14	196	12879
15	198	12197
16	202	11694
17	203	11119
18	205	10603
19	206	10132
20	208	9729
21	210	9335
22	211	8972
23	212	8639
24	213	8329
25	215	8063
26	216	7817
27	218	7599
28	220	7388
29	222	7186
30	223	6987
31	224	6799
32	226	6629
33	227	6460
34	228	6310
35	230	6164
36	231	6024
37	233	5908
38	235	5800
39	236	5687
40	238	5572
41	239	5468
42	241	5363
43	242	5276
44	244	5179
45	245	5085
46	246	4995
47	247	4917
48	249	4840
49	250	4765
50	252	4692
51	253	4617
52	254	4546
53	255	4483
54	257	4418
55	258	4356
56	259	4298
57	261	4239
58	262	4183
59	263	4129
60	264	4075
61	265	4023
62	267	3973
63	268	3925
64	269	3881
65	270	3834
66	272	3789
67	273	3745
68	274	3702
69	275	3664
70	277	3634
71	279	3599
72	280	3562
73	281	3525
74	283	3490
75	284	3456
76	285	3420
77	286	3387
78	287	3353
79	288	3320
80	289	3288
81	291	3259
82	292	3226
83	293	3200
84	295	3178
85	296	3150
86	298	3129
87	314	3256
88	315	3234
89	317	3207
90	318	3180
91	319	3154
92	320	3128
93	322	3105
94	323	3083
95	324	3059
96	326	3035
97	327	3012
98	328	2990
99	330	2970
100	331	2948
101	332	2929
102	334	2909
103	335	2887
104	336	2866
105	337	2847
106	338	2828
107	340	2810
108	341	2794
109	342	2774
110	344	2755
111	345	2737
112	346	2719
113	347	2701
114	348	2684
115	350	2667
116	350	2648
117	352	2633
118	353	2620
119	355	2605
120	356	2590
121	357	2573
122	359	2561
123	360	2548
124	361	2533
125	363	2518
126	364	2502
127	365	2487
128	366	2476
129	368	2464
130	370	2458
131	373	2453
132	374	2443
133	376	2432
134	377	2420
135	379	2408
136	380	2395
137	381	2384
138	383	2374
139	384	2363
140	386	2352
141	387	2339
142	388	2327
143	389	2315
144	390	2303
145	391	2291
146	392	2278
147	393	2267
148	395	2256
149	396	2248
150	398	2241
151	400	2231
152	401	2221
153	402	2213
154	404	2203
155	405	2194
156	406	2183
157	407	2173
158	408	2163
159	410	2153
160	411	2142
161	413	2139
162	414	2130
163	416	2121
164	417	2112
165	418	2102
166	419	2092
167	420	2083
168	421	2074
169	423	2065
170	424	2056
171	425	2050
172	427	2043
173	428	2034
174	429	2026
175	431	2017
176	432	2009
177	433	2001
178	434	1992
179	435	1984
180	436	1977
181	438	1969
182	440	1964
183	441	1958
184	443	1951
185	444	1945
186	445	1937
187	446	1929
188	448	1922
189	449	1914
190	450	1906
191	451	1899
192	452	1891
193	453	1883
194	456	1882
195	457	1876
196	459	1870
197	460	1864
198	461	1857
199	462	1850
200	464	1844
201	465	1839
202	467	1833
203	468	1828
204	470	1823
205	471	1818
206	473	1813
207	475	1809
208	476	1803
209	477	1797
210	478	1790
211	480	1784
212	481	1778
213	482	1772
214	483	1766
215	485	1761
216	486	1755
217	487	1749
218	488	1742
219	489	1737
220	491	1731
221	492	1725
222	493	1719
223	494	1713
224	496	1710
225	497	1705
226	499	1699
227	501	1696
228	503	1693
229	504	1689
230	506	1685
231	507	1679
232	508	1674
233	510	1669
234	511	1664
235	512	1659
236	513	1654
237	516	1654
238	519	1652
239	520	1648
240	522	1644
241	523	1639
242	524	1635
243	526	1631
244	528	1627
245	530	1625
246	532	1624
247	534	1619
248	535	1615
249	537	1611
250	538	1606
